DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2017
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";2;-;-;-;2;-;-;-;-;-;-;-;4
"260010 AFOGADOS DA INGAZEIRA";1;1;4;4;3;3;4;8;3;3;2;1;37
"260020 AFRANIO";-;-;-;-;-;-;-;-;-;-;1;-;1
"260030 AGRESTINA";-;-;-;-;-;-;-;2;-;-;-;-;2
"260040 AGUA PRETA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260050 AGUAS BELAS";2;-;-;-;1;-;1;-;-;2;2;-;8
"260060 ALAGOINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";3;5;5;24;22;13;4;1;17;-;-;1;95
"260090 AMARAJI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260100 ANGELIM";-;3;-;15;24;4;-;-;-;-;-;-;46
"260105 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260110 ARARIPINA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260120 ARCOVERDE";1;-;1;-;2;1;1;1;2;-;1;-;10
"260130 BARRA DE GUABIRABA";-;-;-;-;1;2;8;1;1;-;2;-;15
"260140 BARREIROS";1;2;1;-;-;2;-;-;-;-;-;-;6
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260170 BELO JARDIM";34;40;57;77;75;62;27;31;24;47;42;23;539
"260180 BETANIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260190 BEZERROS";-;-;-;-;-;9;1;-;2;1;-;-;13
"260200 BODOCO";-;-;-;-;-;-;-;-;1;2;-;-;3
"260210 BOM CONSELHO";28;14;-;-;2;-;-;-;-;-;2;-;46
"260220 BOM JARDIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"260230 BONITO";-;-;1;1;-;-;4;1;3;-;-;-;10
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;-;-;-;-;-;-;1;-;-;-;-;1
"260260 BREJO DA MADRE DE DEUS";5;1;11;7;38;67;60;31;12;10;6;-;248
"260270 BUENOS AIRES";-;-;-;-;-;2;-;1;-;-;-;-;3
"260280 BUIQUE";-;-;-;-;2;-;1;-;-;-;-;-;3
"260290 CABO DE SANTO AGOSTINHO";39;22;61;34;71;79;74;90;48;34;26;39;617
"260300 CABROBO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260310 CACHOEIRINHA";-;-;-;-;-;1;1;2;1;-;1;1;7
"260320 CAETES";1;6;18;18;17;36;23;4;-;1;2;16;142
"260330 CALCADO";-;-;-;1;2;29;-;-;1;1;-;-;34
"260340 CALUMBI";-;1;-;-;-;-;-;-;-;-;-;-;1
"260345 CAMARAGIBE";-;-;3;1;1;2;3;1;1;3;6;-;21
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;1;-;-;-;-;-;-;1
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260370 CANHOTINHO";-;-;3;-;1;-;-;-;-;1;-;-;5
"260380 CAPOEIRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"260390 CARNAIBA";1;-;1;-;1;-;-;-;-;-;-;-;3
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260400 CARPINA";2;5;1;1;12;14;6;4;4;-;1;-;50
"260410 CARUARU";9;13;17;19;36;40;37;52;24;21;14;13;295
"260415 CASINHAS";-;-;-;-;-;-;-;-;13;12;1;-;26
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";-;-;-;-;1;-;-;-;-;-;-;-;1
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260450 CHA GRANDE";-;-;-;-;9;7;-;-;-;-;-;-;16
"260460 CONDADO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260470 CORRENTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260480 CORTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260490 CUMARU";-;-;-;-;-;-;2;2;3;1;-;2;10
"260500 CUPIRA";-;-;-;-;-;-;1;-;1;-;-;-;2
"260510 CUSTODIA";-;-;-;-;1;-;-;-;4;-;-;-;5
"260515 DORMENTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260520 ESCADA";-;-;-;-;-;-;2;4;2;2;2;2;14
"260530 EXU";-;-;1;1;-;-;-;-;-;1;-;-;3
"260540 FEIRA NOVA";-;1;5;-;4;-;5;2;-;1;2;1;21
"260545 FERNANDO DE NORONHA";2;-;-;-;-;-;-;-;-;-;-;-;2
"260550 FERREIROS";-;2;1;-;-;-;-;-;-;-;-;-;3
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260570 FLORESTA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260580 FREI MIGUELINHO";-;-;-;-;1;-;1;1;6;-;-;-;9
"260590 GAMELEIRA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260600 GARANHUNS";19;15;32;43;101;99;32;19;11;5;7;10;393
"260610 GLORIA DO GOITA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260620 GOIANA";2;7;35;13;22;9;3;1;7;10;8;14;131
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 GRAVATA";-;1;-;-;-;1;-;1;-;2;8;67;80
"260650 IATI";2;2;-;9;17;4;-;1;-;-;2;-;37
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;3;-;3
"260670 IBIRAJUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260680 IGARASSU";4;1;2;2;10;12;3;15;8;7;2;13;79
"260690 IGUARACY";-;-;-;-;-;-;-;-;-;-;-;-;-
"260700 INAJA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260710 INGAZEIRA";-;-;2;1;-;-;-;-;-;-;-;-;3
"260720 IPOJUCA";-;-;1;1;1;-;-;-;1;-;-;1;5
"260730 IPUBI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260740 ITACURUBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260750 ITAIBA";-;6;5;2;11;4;-;-;-;-;-;-;28
"260760 ILHA DE ITAMARACA";-;3;-;-;2;-;-;-;-;-;-;-;5
"260765 ITAMBE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260770 ITAPETIM";-;-;-;-;1;-;-;-;-;-;-;-;1
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260780 ITAQUITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260790 JABOATAO DOS GUARARAPES";14;28;43;23;9;1;1;11;8;10;13;8;169
"260795 JAQUEIRA";-;-;1;8;14;5;5;6;5;4;-;-;48
"260800 JATAUBA";2;2;10;25;13;23;11;10;5;12;9;3;125
"260805 JATOBA";-;-;1;-;-;-;-;1;-;-;-;-;2
"260810 JOAO ALFREDO";-;1;1;1;-;2;-;2;3;1;-;-;11
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260840 JUREMA";-;-;1;1;-;1;-;-;-;-;-;-;3
"260845 LAGOA DO CARRO";-;-;-;-;-;-;-;2;-;-;-;-;2
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260860 LAGOA DO OURO";1;-;-;-;-;1;-;-;-;-;-;-;2
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;1;1;-;-;-;1;3
"260875 LAGOA GRANDE";-;-;-;1;1;3;-;1;-;-;1;-;7
"260880 LAJEDO";-;1;8;19;231;314;73;30;2;-;-;-;678
"260890 LIMOEIRO";2;7;7;6;8;7;6;10;8;5;9;7;82
"260900 MACAPARANA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260910 MACHADOS";-;-;-;7;2;4;-;2;4;-;1;1;21
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260920 MARAIAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"260930 MIRANDIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260940 MORENO";-;-;-;-;-;-;-;-;2;-;-;-;2
"260950 NAZARE DA MATA";-;-;-;-;-;-;-;-;-;-;1;-;1
"260960 OLINDA";33;27;55;19;23;6;96;68;15;23;15;11;391
"260970 OROBO";1;-;-;-;-;-;-;-;-;11;-;2;14
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;1;1
"260990 OURICURI";-;-;-;-;1;-;-;1;-;2;-;-;4
"261000 PALMARES";-;1;-;1;-;-;4;2;5;5;9;1;28
"261010 PALMEIRINA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261020 PANELAS";-;-;-;-;-;3;5;3;2;1;-;1;15
"261030 PARANATAMA";-;-;-;-;3;3;1;-;-;-;-;-;7
"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"261050 PASSIRA";-;-;-;1;1;2;-;-;3;-;-;-;7
"261060 PAUDALHO";-;2;-;7;-;1;-;-;-;2;-;1;13
"261070 PAULISTA";11;13;24;1;3;5;2;12;8;5;7;11;102
"261080 PEDRA";-;4;6;7;3;2;2;-;-;1;1;2;28
"261090 PESQUEIRA";9;3;10;2;12;13;17;14;5;4;3;1;93
"261100 PETROLANDIA";-;-;-;-;-;-;-;-;1;1;-;1;3
"261110 PETROLINA";5;3;1;-;2;1;-;3;3;3;2;-;23
"261120 POCAO";-;-;-;1;19;-;-;-;-;-;-;-;20
"261130 POMBOS";-;-;-;-;-;-;-;-;-;-;-;-;-
