DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2015
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";2;8;29;21;20;4;1;-;2;4;1;5;97
"260010 AFOGADOS DA INGAZEIRA";12;23;76;165;250;254;94;30;25;17;60;162;1168
"260020 AFRANIO";-;-;-;9;8;16;41;1;-;-;-;-;75
"260030 AGRESTINA";1;-;2;28;97;7;-;-;1;-;-;-;136
"260040 AGUA PRETA";-;-;-;-;1;3;1;-;-;-;-;-;5
"260050 AGUAS BELAS";-;3;10;6;2;-;1;6;917;52;-;-;997
"260060 ALAGOINHA";1;1;15;23;8;-;-;-;-;5;129;277;459
"260070 ALIANCA";12;1;56;15;28;11;7;-;-;1;3;215;349
"260080 ALTINHO";1;-;8;36;76;42;26;10;3;3;-;5;210
"260090 AMARAJI";-;-;-;29;34;30;2;-;-;-;-;-;95
"260100 ANGELIM";1;1;-;-;1;-;-;-;-;-;-;1;4
"260105 ARACOIABA";-;-;46;39;27;12;-;-;-;-;-;-;124
"260110 ARARIPINA";-;-;3;3;22;19;2;-;-;-;-;-;49
"260120 ARCOVERDE";8;33;57;22;19;9;3;3;9;263;1207;35;1668
"260130 BARRA DE GUABIRABA";3;-;1;3;8;7;6;3;-;1;-;3;35
"260140 BARREIROS";1;-;23;45;141;40;32;16;5;-;5;14;322
"260150 BELEM DE MARIA";-;-;-;1;1;-;-;-;-;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";-;1;12;23;61;21;3;-;-;-;-;-;121
"260170 BELO JARDIM";2;22;6;12;4;-;1;-;-;-;-;3122;3169
"260180 BETANIA";-;1;8;-;-;-;-;-;-;-;1;4;14
"260190 BEZERROS";4;22;41;27;102;23;10;9;9;5;35;167;454
"260200 BODOCO";-;-;-;2;-;14;1;-;-;-;-;-;17
"260210 BOM CONSELHO";-;-;1;4;12;7;1;-;1;66;104;148;344
"260220 BOM JARDIM";1;-;5;103;116;30;2;-;1;-;48;89;395
"260230 BONITO";-;-;4;6;14;11;3;5;1;2;4;7;57
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;1;1;11;12;14;4;-;-;-;-;-;43
"260260 BREJO DA MADRE DE DEUS";38;13;17;78;77;16;7;2;-;10;236;87;581
"260270 BUENOS AIRES";-;21;36;17;3;-;-;-;-;3;38;77;195
"260280 BUIQUE";16;3;4;49;61;29;22;8;33;1;118;429;773
"260290 CABO DE SANTO AGOSTINHO";33;53;196;474;521;428;287;55;21;21;42;122;2253
"260300 CABROBO";-;-;-;-;2;6;23;9;-;-;-;1;41
"260310 CACHOEIRINHA";-;-;-;1;5;3;-;-;-;-;-;-;9
"260320 CAETES";5;-;2;13;7;9;5;1;3;-;8;33;86
"260330 CALCADO";-;-;1;2;12;8;12;2;-;3;5;35;80
"260340 CALUMBI";-;-;-;-;3;-;-;-;-;-;-;-;3
"260345 CAMARAGIBE";47;243;911;864;733;1553;678;205;107;29;12;133;5515
"260350 CAMOCIM DE SAO FELIX";-;-;-;1;1;1;-;-;-;-;-;6;9
"260360 CAMUTANGA";-;-;17;5;2;-;-;-;-;-;-;-;24
