DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2010
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;2;2;1;20;7;44;13;23;28;13;153
"260010 AFOGADOS DA INGAZEIRA";1;1;4;11;53;68;16;8;3;8;15;33;221
"260020 AFRANIO";10;5;12;6;-;1;-;-;-;-;-;-;34
"260030 AGRESTINA";-;1;2;6;1;1;-;-;-;1;-;-;12
"260040 AGUA PRETA";-;-;-;17;4;2;4;3;5;3;3;5;46
"260050 AGUAS BELAS";-;-;2;-;3;-;-;-;-;-;-;-;5
"260060 ALAGOINHA";-;-;-;-;-;-;-;1;2;-;6;1;10
"260070 ALIANCA";-;-;-;-;-;1;-;-;-;-;1;1;3
"260080 ALTINHO";1;2;14;35;104;29;25;10;-;1;2;-;223
"260090 AMARAJI";-;-;56;40;24;20;3;-;-;1;1;-;145
"260100 ANGELIM";-;-;1;1;-;1;-;-;-;-;1;-;4
"260105 ARACOIABA";1;-;-;-;-;6;1;1;-;-;-;-;9
"260110 ARARIPINA";2;3;10;4;11;-;5;1;1;-;1;1;39
"260120 ARCOVERDE";6;-;17;55;77;91;32;15;4;4;11;13;325
"260130 BARRA DE GUABIRABA";-;-;-;-;1;1;1;1;-;-;-;-;4
"260140 BARREIROS";-;-;5;15;88;32;8;12;1;5;2;-;168
"260150 BELEM DE MARIA";-;-;1;1;-;-;-;-;-;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";-;-;3;9;3;4;3;-;-;-;-;-;22
"260170 BELO JARDIM";-;-;-;10;31;110;40;46;50;20;28;9;344
"260180 BETANIA";-;-;-;-;-;1;1;1;-;-;-;-;3
"260190 BEZERROS";6;14;43;12;2;3;-;-;-;-;-;-;80
"260200 BODOCO";-;1;33;32;30;31;6;1;2;-;2;-;138
"260210 BOM CONSELHO";-;-;2;5;13;4;6;3;-;-;-;-;33
"260220 BOM JARDIM";-;-;-;2;16;17;31;7;5;8;1;2;89
"260230 BONITO";-;-;1;2;10;25;10;3;4;2;-;-;57
"260240 BREJAO";-;-;-;3;5;9;1;2;-;-;-;-;20
"260250 BREJINHO";-;-;1;1;-;-;-;-;-;-;-;1;3
"260260 BREJO DA MADRE DE DEUS";-;-;-;1;16;9;10;9;3;1;-;-;49
"260270 BUENOS AIRES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260280 BUIQUE";-;-;-;1;1;-;-;-;-;-;-;-;2
"260290 CABO DE SANTO AGOSTINHO";2;6;29;61;328;534;208;148;82;33;24;24;1479
"260300 CABROBO";-;-;-;-;1;-;-;1;-;-;-;-;2
"260310 CACHOEIRINHA";-;-;-;-;4;-;-;1;-;-;-;-;5
"260320 CAETES";-;-;1;3;26;9;3;2;-;-;-;-;44
"260330 CALCADO";-;-;1;4;13;17;7;3;1;-;-;-;46
"260340 CALUMBI";-;-;-;-;3;-;-;-;-;-;-;-;3
"260345 CAMARAGIBE";1;-;2;18;48;76;90;49;12;-;2;2;300
"260350 CAMOCIM DE SAO FELIX";-;1;-;-;1;22;8;-;-;1;-;-;33
"260360 CAMUTANGA";-;-;-;-;2;-;-;-;-;-;-;-;2
"260370 CANHOTINHO";-;-;-;2;-;3;7;3;1;1;-;-;17
"260380 CAPOEIRAS";-;-;-;3;11;13;11;1;-;-;-;-;39
"260390 CARNAIBA";1;1;-;1;32;32;4;10;-;3;4;8;96
"260392 CARNAUBEIRA DA PENHA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260400 CARPINA";-;-;2;-;12;12;16;20;14;5;-;1;82
"260410 CARUARU";8;28;199;367;342;181;68;67;13;3;11;6;1293
"260415 CASINHAS";10;5;7;32;23;13;24;3;1;-;-;-;118
"260420 CATENDE";-;-;-;1;15;3;4;3;2;1;-;-;29
"260430 CEDRO";-;2;29;18;5;18;15;2;1;-;-;1;91
"260440 CHA DE ALEGRIA";-;-;-;1;1;6;2;1;-;-;-;-;11
"260450 CHA GRANDE";3;9;4;6;47;29;10;3;6;1;-;16;134
"260460 CONDADO";-;-;-;-;2;-;11;12;32;34;29;25;145
"260470 CORRENTES";-;-;1;-;1;3;2;-;-;-;-;-;7
"260480 CORTES";5;31;35;2;-;-;-;-;-;-;-;-;73
"260490 CUMARU";-;-;-;4;20;38;4;1;1;1;-;-;69
"260500 CUPIRA";-;-;-;-;-;3;2;-;1;1;2;1;10
"260510 CUSTODIA";-;1;5;4;15;5;2;-;-;-;1;-;33
"260515 DORMENTES";24;-;-;-;2;-;-;-;-;-;-;-;26
"260520 ESCADA";-;-;10;18;21;18;5;-;1;6;20;-;99
"260530 EXU";-;1;11;5;6;7;10;3;-;-;1;1;45
"260540 FEIRA NOVA";-;-;-;-;-;-;10;-;-;-;1;-;11
"260545 FERNANDO DE NORONHA";-;-;1;-;2;31;20;3;3;-;-;-;60
"260550 FERREIROS";-;-;-;-;-;-;8;-;-;-;-;-;8
"260560 FLORES";-;-;-;-;1;1;-;6;-;-;-;-;8
"260570 FLORESTA";-;-;-;1;17;12;7;2;1;-;-;-;40
"260580 FREI MIGUELINHO";-;-;2;2;19;24;3;7;-;-;-;-;57
"260590 GAMELEIRA";-;32;83;17;8;3;10;-;3;-;-;-;156
"260600 GARANHUNS";1;5;21;85;243;261;97;31;8;4;2;7;765
"260610 GLORIA DO GOITA";2;5;14;29;29;-;9;2;5;1;-;-;96
"260620 GOIANA";1;-;-;1;-;4;6;13;11;23;45;21;125
"260630 GRANITO";-;-;-;10;12;10;-;-;-;-;-;-;32
"260640 GRAVATA";-;2;7;12;42;46;72;22;15;3;2;3;226
"260650 IATI";-;-;-;2;3;3;-;1;-;-;-;-;9
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260670 IBIRAJUBA";-;4;12;12;2;3;-;-;-;-;-;-;33
"260680 IGARASSU";3;1;7;11;32;35;24;38;26;26;18;8;229
"260690 IGUARACY";-;-;2;5;1;8;-;-;-;-;-;-;16
"260700 INAJA";-;-;-;-;-;1;1;7;-;2;-;-;11
"260710 INGAZEIRA";-;-;-;-;1;9;8;1;-;-;-;3;22
"260720 IPOJUCA";1;-;1;7;26;31;29;14;18;4;3;17;151
"260730 IPUBI";1;1;3;-;1;2;1;-;1;-;-;-;10
"260740 ITACURUBA";-;-;-;1;1;5;4;-;-;-;-;-;11
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260760 ILHA DE ITAMARACA";2;-;-;3;24;72;39;9;7;4;4;4;168
"260765 ITAMBE";-;-;-;-;-;-;-;14;12;2;-;-;28
"260770 ITAPETIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260775 ITAPISSUMA";-;-;-;1;-;1;-;-;2;3;2;-;9
"260780 ITAQUITINGA";-;-;1;-;1;1;-;-;-;-;13;13;29
"260790 JABOATAO DOS GUARARAPES";-;6;44;103;354;482;433;260;79;14;9;38;1822
"260795 JAQUEIRA";-;-;3;-;5;-;-;-;-;-;-;-;8
"260800 JATAUBA";-;2;4;2;8;3;-;-;-;-;-;1;20
"260805 JATOBA";-;-;1;1;3;16;5;5;-;-;1;-;32
"260810 JOAO ALFREDO";-;7;7;10;17;2;2;-;-;-;-;-;45
"260820 JOAQUIM NABUCO";-;-;-;-;2;1;-;-;-;-;-;-;3
"260825 JUCATI";-;-;1;1;3;2;2;-;-;-;-;-;9
"260830 JUPI";-;-;-;17;15;5;-;-;-;-;-;-;37
"260840 JUREMA";-;-;-;-;-;-;6;-;1;-;-;-;7
"260845 LAGOA DO CARRO";-;-;1;42;69;78;55;12;4;1;2;1;265
"260850 LAGOA DE ITAENGA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260860 LAGOA DO OURO";-;-;-;-;2;-;1;1;-;-;-;-;4
"260870 LAGOA DOS GATOS";-;-;6;3;14;-;4;1;1;-;-;-;29
"260875 LAGOA GRANDE";2;4;31;13;8;5;-;-;1;1;-;-;65
"260880 LAJEDO";-;-;-;1;9;-;2;-;-;-;-;-;12
"260890 LIMOEIRO";2;2;5;12;12;41;74;50;24;16;21;15;274
"260900 MACAPARANA";-;-;-;-;1;3;-;3;-;-;2;1;10
"260910 MACHADOS";-;-;-;-;-;-;-;2;-;1;-;-;3
"260915 MANARI";-;-;-;-;-;1;-;-;-;-;-;-;1
"260920 MARAIAL";-;-;-;3;8;1;-;-;-;-;-;1;13
"260930 MIRANDIBA";-;-;2;4;41;20;2;1;-;-;-;1;71
"260940 MORENO";-;-;1;35;159;239;389;216;42;6;10;4;1101
"260950 NAZARE DA MATA";-;-;-;-;1;18;17;22;14;6;9;7;94
"260960 OLINDA";1;8;14;12;74;164;179;186;42;20;32;15;747
"260970 OROBO";-;-;-;1;7;12;18;2;-;2;2;2;46
"260980 OROCO";-;-;-;1;-;-;-;-;1;-;-;-;2
"260990 OURICURI";20;162;83;2;1;-;-;-;1;-;-;-;269
"261000 PALMARES";2;1;-;4;8;3;8;7;21;9;8;2;73
"261010 PALMEIRINA";-;-;4;5;7;-;2;-;-;-;-;-;18
"261020 PANELAS";-;-;-;10;1;-;-;1;-;-;-;-;12
"261030 PARANATAMA";-;-;-;-;2;1;1;-;1;-;-;-;5
"261040 PARNAMIRIM";-;1;7;8;7;15;-;6;6;-;-;-;50
"261050 PASSIRA";-;-;-;-;-;-;-;1;2;-;-;-;3
