DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2013
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;1;3;3;4;2;3;1;2;2;1;1;23
"260010 AFOGADOS DA INGAZEIRA";1;1;2;3;27;14;12;5;1;-;2;4;72
"260020 AFRANIO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260030 AGRESTINA";-;-;1;-;1;3;1;2;1;-;4;-;13
"260040 AGUA PRETA";-;-;-;-;2;1;2;2;1;-;1;-;9
"260050 AGUAS BELAS";-;-;-;-;1;-;1;-;-;-;-;-;2
"260060 ALAGOINHA";-;-;1;-;1;-;-;-;-;-;-;-;2
"260070 ALIANCA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260080 ALTINHO";-;-;-;1;4;1;1;1;-;-;-;-;8
"260090 AMARAJI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260105 ARACOIABA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260110 ARARIPINA";2;2;-;-;1;-;5;-;-;-;1;-;11
"260120 ARCOVERDE";-;1;-;3;10;8;1;1;1;3;-;-;28
"260130 BARRA DE GUABIRABA";-;-;-;2;2;-;-;-;-;-;-;-;4
"260140 BARREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;1;-;-;-;-;-;-;-;-;-;-;1
"260170 BELO JARDIM";-;1;2;45;17;9;12;14;3;-;-;-;103
"260180 BETANIA";-;-;-;3;-;-;-;-;-;-;-;-;3
"260190 BEZERROS";-;-;-;-;-;-;-;-;-;-;1;1;2
"260200 BODOCO";-;-;1;-;-;-;-;-;-;-;-;-;1
"260210 BOM CONSELHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260220 BOM JARDIM";-;-;-;-;-;-;1;-;-;-;-;-;1
"260230 BONITO";14;1;2;11;4;10;11;5;-;-;2;-;60
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;-;-;-;15;2;2;-;-;-;-;-;19
"260260 BREJO DA MADRE DE DEUS";-;-;-;9;5;3;-;-;-;-;-;-;17
"260270 BUENOS AIRES";-;-;-;2;-;-;-;-;-;1;-;-;3
"260280 BUIQUE";-;1;2;1;5;4;1;-;-;-;-;-;14
"260290 CABO DE SANTO AGOSTINHO";16;5;46;89;89;63;45;39;24;29;17;2;464
"260300 CABROBO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260320 CAETES";-;-;1;39;17;1;1;-;1;1;-;-;61
"260330 CALCADO";1;-;-;1;7;11;4;6;-;2;-;1;33
"260340 CALUMBI";-;-;-;-;1;-;-;-;-;-;-;-;1
"260345 CAMARAGIBE";-;-;-;-;2;-;1;1;-;1;-;-;5
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;-;-;-;-;-;-;2;2
"260360 CAMUTANGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260370 CANHOTINHO";-;-;7;2;-;-;-;-;-;-;-;-;9
"260380 CAPOEIRAS";-;-;-;1;1;2;-;2;2;-;-;-;8
"260390 CARNAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;4;-;4
"260400 CARPINA";1;4;7;13;21;3;3;6;9;33;11;8;119
"260410 CARUARU";15;5;23;26;64;12;14;17;12;11;5;24;228
"260415 CASINHAS";-;-;8;4;2;1;1;-;-;-;-;-;16
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";-;-;-;-;-;-;-;-;-;1;-;-;1
"260440 CHA DE ALEGRIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"260450 CHA GRANDE";-;-;2;6;16;-;3;-;-;-;2;-;29
"260460 CONDADO";-;-;-;-;1;1;-;1;1;-;1;1;6
"260470 CORRENTES";-;-;-;1;2;16;1;-;-;-;-;-;20
"260480 CORTES";-;-;-;-;-;1;-;-;-;-;-;-;1
"260490 CUMARU";-;-;-;-;4;-;-;-;-;-;-;-;4
"260500 CUPIRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260510 CUSTODIA";-;-;2;-;-;-;-;1;1;1;-;-;5
"260515 DORMENTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260520 ESCADA";-;2;11;5;4;3;3;-;2;-;1;-;31
"260530 EXU";1;-;1;-;1;1;-;1;-;-;-;1;6
"260540 FEIRA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260545 FERNANDO DE NORONHA";-;-;-;6;8;-;1;-;-;-;-;-;15
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260570 FLORESTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260580 FREI MIGUELINHO";-;-;-;-;-;3;-;-;-;-;-;-;3
"260590 GAMELEIRA";-;1;1;2;-;-;-;-;-;-;-;-;4
"260600 GARANHUNS";2;3;4;10;14;18;5;1;2;1;-;-;60
"260610 GLORIA DO GOITA";3;4;3;4;8;1;5;3;1;1;-;2;35
"260620 GOIANA";-;-;3;2;10;9;3;5;4;-;2;-;38
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 GRAVATA";-;2;4;2;8;9;13;7;4;5;6;8;68
"260650 IATI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260660 IBIMIRIM";-;-;7;6;2;-;-;-;-;-;-;-;15
"260670 IBIRAJUBA";-;-;-;-;-;-;-;-;2;-;-;-;2
"260680 IGARASSU";1;8;6;29;73;12;9;2;12;10;6;14;182
"260690 IGUARACY";-;1;1;-;-;-;-;-;-;-;-;1;3
"260700 INAJA";-;-;-;-;3;1;-;-;-;-;-;-;4
"260710 INGAZEIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260720 IPOJUCA";4;1;19;15;11;1;1;1;1;2;1;7;64
"260730 IPUBI";-;1;3;3;-;-;-;-;-;-;-;-;7
"260740 ITACURUBA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260760 ILHA DE ITAMARACA";-;1;-;1;2;1;-;-;-;6;1;-;12
"260765 ITAMBE";-;2;-;-;-;1;-;-;-;-;-;-;3
"260770 ITAPETIM";1;-;1;1;-;1;-;-;-;1;7;5;17
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260780 ITAQUITINGA";-;-;-;-;2;-;2;4;5;-;-;-;13
"260790 JABOATAO DOS GUARARAPES";8;13;54;153;162;109;35;36;32;17;26;13;658
"260795 JAQUEIRA";-;1;3;2;-;-;-;1;-;-;-;-;7
"260800 JATAUBA";-;-;-;2;11;15;3;1;-;-;-;-;32
"260805 JATOBA";-;1;5;17;3;1;-;-;-;3;-;-;30
"260810 JOAO ALFREDO";-;-;-;-;-;-;9;3;1;-;1;-;14
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;1;1;-;-;-;-;-;-;-;2
"260830 JUPI";-;-;-;7;5;-;-;-;1;-;1;-;14
"260840 JUREMA";-;3;14;29;28;1;-;-;-;-;-;-;75
"260845 LAGOA DO CARRO";-;-;2;1;1;-;-;-;1;-;-;-;5
"260850 LAGOA DE ITAENGA";-;-;2;4;3;8;4;1;1;-;-;-;23
"260860 LAGOA DO OURO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260875 LAGOA GRANDE";-;-;-;-;-;-;5;2;-;-;-;2;9
"260880 LAJEDO";-;-;1;-;2;1;-;-;-;-;1;-;5
"260890 LIMOEIRO";6;2;4;14;12;8;9;1;3;2;4;-;65
"260900 MACAPARANA";-;-;2;2;3;1;2;-;-;-;-;-;10
"260910 MACHADOS";-;1;-;-;-;1;-;-;-;-;1;-;3
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-
