DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;1;-;1;75;52;32;15;35;9;9;9;238
"260010 AFOGADOS DA INGAZEIRA";3;6;19;49;203;267;111;77;60;61;25;27;908
"260020 AFRANIO";-;-;-;-;-;12;8;12;10;5;4;2;53
"260030 AGRESTINA";-;1;1;-;1;1;1;1;2;-;-;7;15
"260040 AGUA PRETA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260050 AGUAS BELAS";-;-;2;-;9;-;1;2;2;-;-;-;16
"260060 ALAGOINHA";-;1;4;-;-;1;-;-;-;-;-;-;6
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";-;-;2;1;-;-;-;-;-;-;-;-;3
"260090 AMARAJI";-;-;2;-;4;3;-;-;1;-;-;1;11
"260100 ANGELIM";-;14;6;5;3;-;-;1;-;-;-;-;29
"260105 ARACOIABA";-;-;1;-;3;10;10;3;1;-;-;-;28
"260110 ARARIPINA";-;-;-;-;2;4;1;2;1;-;-;-;10
"260120 ARCOVERDE";4;5;11;19;67;39;36;24;17;5;7;8;242
"260130 BARRA DE GUABIRABA";-;-;-;-;-;2;-;11;5;3;1;-;22
"260140 BARREIROS";-;-;-;10;12;2;6;-;1;-;-;-;31
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;1;-;7;62;24;10;14;2;3;2;-;125
"260170 BELO JARDIM";21;10;11;26;44;30;23;31;17;23;8;7;251
"260180 BETANIA";-;1;-;3;7;12;-;1;-;-;-;-;24
"260190 BEZERROS";-;1;-;-;3;-;-;2;-;-;-;-;6
"260200 BODOCO";-;-;1;2;1;-;-;-;-;-;-;1;5
"260210 BOM CONSELHO";5;7;32;72;38;3;2;1;1;-;9;-;170
"260220 BOM JARDIM";-;-;-;1;-;-;-;1;-;-;-;-;2
"260230 BONITO";-;3;3;9;2;-;-;-;-;-;-;-;17
"260240 BREJAO";-;-;-;37;42;10;-;-;-;-;-;-;89
"260250 BREJINHO";-;-;3;9;9;-;-;-;1;-;1;1;24
"260260 BREJO DA MADRE DE DEUS";-;4;1;7;8;4;1;1;-;1;23;-;50
"260270 BUENOS AIRES";1;-;-;-;2;-;-;-;-;-;-;-;3
"260280 BUIQUE";-;2;2;12;56;42;18;6;7;3;1;1;150
"260290 CABO DE SANTO AGOSTINHO";67;104;227;322;399;265;144;173;161;89;60;39;2050
"260300 CABROBO";-;2;2;17;100;71;46;18;1;2;-;-;259
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260320 CAETES";-;15;36;57;21;-;7;6;-;1;-;1;144
"260330 CALCADO";1;-;1;2;-;2;7;-;7;-;1;-;21
"260340 CALUMBI";-;-;1;-;1;-;-;-;-;-;-;-;2
"260345 CAMARAGIBE";5;15;32;33;14;11;17;17;11;4;4;2;165
"260350 CAMOCIM DE SAO FELIX";2;-;11;9;58;35;9;3;-;-;-;-;127
"260360 CAMUTANGA";-;-;3;3;1;1;2;3;3;-;-;1;17
"260370 CANHOTINHO";-;-;-;-;-;-;5;-;1;-;-;1;7
"260380 CAPOEIRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"260390 CARNAIBA";1;5;6;27;43;13;11;6;2;3;3;-;120
"260392 CARNAUBEIRA DA PENHA";-;1;-;1;8;3;1;1;-;-;-;-;15
"260400 CARPINA";-;-;9;17;90;29;18;-;1;-;-;-;164
"260410 CARUARU";11;6;15;27;29;41;26;27;18;11;10;4;225
"260415 CASINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260420 CATENDE";-;5;1;-;-;-;-;-;-;-;-;-;6
"260430 CEDRO";-;-;-;1;17;32;20;9;2;5;-;-;86
"260440 CHA DE ALEGRIA";2;-;-;2;3;1;-;1;-;1;4;-;14
"260450 CHA GRANDE";-;-;-;-;-;59;19;13;1;-;-;-;92
"260460 CONDADO";-;-;-;-;1;1;-;-;-;-;1;3;6
"260470 CORRENTES";-;3;8;26;3;-;-;-;-;-;-;-;40
"260480 CORTES";6;2;11;8;1;-;-;1;-;-;-;-;29
"260490 CUMARU";1;-;-;3;-;-;2;-;-;-;1;-;7
"260500 CUPIRA";-;-;-;1;5;6;1;8;24;3;-;-;48
"260510 CUSTODIA";69;38;9;25;51;25;-;-;7;-;3;1;228
"260515 DORMENTES";-;-;-;3;52;73;22;2;-;-;-;-;152
"260520 ESCADA";1;1;1;2;2;4;-;2;-;1;-;-;14
"260530 EXU";-;-;1;1;2;-;-;-;-;-;-;-;4
"260540 FEIRA NOVA";2;1;5;2;1;-;1;-;1;1;-;-;14
"260545 FERNANDO DE NORONHA";22;15;8;20;10;9;3;1;1;1;2;5;97
"260550 FERREIROS";-;-;3;-;-;-;-;-;-;-;-;-;3
"260560 FLORES";-;-;1;2;1;1;1;1;-;1;-;-;8
"260570 FLORESTA";-;-;-;-;3;3;2;1;1;-;-;-;10
"260580 FREI MIGUELINHO";1;-;-;-;-;-;1;-;1;1;-;-;4
"260590 GAMELEIRA";-;-;2;-;-;-;1;-;-;-;-;-;3
"260600 GARANHUNS";3;13;16;61;109;102;96;45;51;44;34;26;600
"260610 GLORIA DO GOITA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260620 GOIANA";18;30;31;72;161;124;142;88;115;78;75;30;964
"260630 GRANITO";-;-;-;-;1;1;-;-;-;-;-;-;2
"260640 GRAVATA";-;-;2;5;5;5;1;3;4;1;2;-;28
"260650 IATI";-;1;1;3;4;-;1;-;-;-;-;-;10
"260660 IBIMIRIM";1;6;13;27;27;6;-;-;-;-;-;-;80
"260670 IBIRAJUBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260680 IGARASSU";35;64;96;568;331;72;166;176;246;254;153;112;2273
"260690 IGUARACY";-;-;-;1;2;2;-;1;-;-;-;-;6
"260700 INAJA";-;1;-;2;11;6;3;5;2;2;-;-;32
"260710 INGAZEIRA";-;-;7;16;52;34;7;6;2;-;-;-;124
"260720 IPOJUCA";10;6;18;36;52;36;48;14;6;4;3;1;234
"260730 IPUBI";-;-;-;-;1;-;-;-;-;-;-;-;1
"260740 ITACURUBA";-;-;-;4;14;8;4;-;-;-;-;-;30
"260750 ITAIBA";-;-;-;9;-;-;2;-;1;-;-;-;12
"260760 ILHA DE ITAMARACA";-;-;8;10;39;15;2;-;-;-;-;-;74
"260765 ITAMBE";-;2;-;1;1;4;-;-;-;-;-;-;8
"260770 ITAPETIM";-;-;4;13;26;18;2;-;-;3;1;-;67
"260775 ITAPISSUMA";-;-;-;-;-;-;1;1;-;-;1;-;3
"260780 ITAQUITINGA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260790 JABOATAO DOS GUARARAPES";52;73;229;340;644;573;520;469;470;398;316;245;4329
"260795 JAQUEIRA";-;-;2;2;29;27;15;8;2;4;-;1;90
"260800 JATAUBA";7;9;20;14;9;-;6;8;4;-;-;1;78
"260805 JATOBA";-;-;-;-;1;-;1;2;-;2;-;-;6
"260810 JOAO ALFREDO";-;1;2;-;3;7;4;2;1;-;-;-;20
"260820 JOAQUIM NABUCO";-;-;5;4;-;-;-;-;-;-;-;-;9
"260825 JUCATI";-;-;-;1;-;-;-;-;1;3;-;-;5
