DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2011
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";1;4;35;63;56;20;6;7;1;-;-;5;198
"260010 AFOGADOS DA INGAZEIRA";30;169;309;121;48;19;13;13;17;19;11;22;791
"260020 AFRANIO";-;-;4;88;51;29;11;2;-;-;-;-;185
"260030 AGRESTINA";-;-;-;1;-;-;-;-;-;-;1;-;2
"260040 AGUA PRETA";1;-;-;3;46;20;3;-;-;1;-;1;75
"260050 AGUAS BELAS";-;-;-;3;-;-;-;-;-;-;-;-;3
"260060 ALAGOINHA";-;4;15;7;5;4;3;1;-;-;-;-;39
"260070 ALIANCA";28;47;7;1;3;-;1;-;-;-;-;-;87
"260080 ALTINHO";1;1;-;2;2;1;1;1;2;-;-;-;11
"260090 AMARAJI";-;-;1;-;-;-;-;-;-;-;-;-;1
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260105 ARACOIABA";-;2;-;1;-;-;-;-;-;1;-;-;4
"260110 ARARIPINA";4;24;23;34;14;4;3;3;-;3;9;12;133
"260120 ARCOVERDE";5;-;5;3;2;-;-;2;2;3;2;4;28
"260130 BARRA DE GUABIRABA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260140 BARREIROS";-;1;1;1;-;-;-;-;-;-;-;-;3
"260150 BELEM DE MARIA";-;1;2;-;-;-;-;-;-;-;-;-;3
"260160 BELEM DE SAO FRANCISCO";-;-;-;3;1;-;-;-;-;-;1;1;6
"260170 BELO JARDIM";-;-;-;-;4;5;-;-;-;-;-;-;9
"260180 BETANIA";-;1;1;2;-;-;-;-;-;-;-;-;4
"260190 BEZERROS";-;-;5;1;-;-;1;-;-;-;-;1;8
"260200 BODOCO";-;-;-;-;1;1;-;-;7;2;15;86;112
"260210 BOM CONSELHO";1;-;1;2;1;-;2;-;-;-;-;1;8
"260220 BOM JARDIM";4;7;14;11;5;3;2;-;-;-;-;1;47
"260230 BONITO";-;-;1;-;2;-;-;-;-;-;-;-;3
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";3;4;17;11;1;1;2;1;2;-;1;-;43
"260260 BREJO DA MADRE DE DEUS";-;-;-;2;-;1;1;-;-;-;-;-;4
"260270 BUENOS AIRES";-;3;-;2;3;-;-;-;-;-;-;-;8
"260280 BUIQUE";-;-;-;2;-;-;-;-;-;-;-;-;2
"260290 CABO DE SANTO AGOSTINHO";7;14;26;34;38;21;13;12;6;7;8;10;196
"260300 CABROBO";-;1;-;4;14;7;6;9;1;-;-;-;42
"260310 CACHOEIRINHA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260320 CAETES";-;1;8;13;9;-;-;-;-;-;-;-;31
"260330 CALCADO";-;1;1;2;2;-;-;-;-;-;-;-;6
"260340 CALUMBI";-;1;1;-;1;-;-;-;-;-;-;-;3
"260345 CAMARAGIBE";1;5;29;4;17;11;4;2;1;1;-;1;76
"260350 CAMOCIM DE SAO FELIX";-;-;-;3;3;-;-;-;-;-;-;-;6
"260360 CAMUTANGA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260370 CANHOTINHO";-;-;1;5;8;3;1;-;-;-;-;-;18
"260380 CAPOEIRAS";-;-;2;2;3;6;2;1;-;-;-;-;16
"260390 CARNAIBA";3;13;11;25;29;-;3;-;-;-;-;6;90
"260392 CARNAUBEIRA DA PENHA";-;-;-;1;2;-;1;-;-;-;-;-;4
"260400 CARPINA";10;112;139;116;51;23;12;2;2;1;2;19;489
"260410 CARUARU";1;5;10;9;3;3;7;7;5;7;9;18;84
"260415 CASINHAS";-;-;-;1;1;1;-;-;1;-;2;-;6
"260420 CATENDE";-;1;-;1;-;-;1;1;1;-;-;-;5
"260430 CEDRO";-;2;5;-;3;-;-;-;-;-;-;-;10
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;1;-;-;-;-;7;8
"260450 CHA GRANDE";1;3;1;-;2;8;4;7;1;7;2;4;40
"260460 CONDADO";19;37;45;65;39;18;6;6;5;7;-;3;250
"260470 CORRENTES";-;-;-;-;1;2;1;1;-;-;-;-;5
"260480 CORTES";-;-;-;-;-;-;-;-;-;-;-;1;1
"260490 CUMARU";3;3;-;-;1;-;1;1;1;-;-;1;11
"260500 CUPIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260510 CUSTODIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260515 DORMENTES";-;-;-;-;-;1;4;-;-;-;-;-;5
"260520 ESCADA";-;1;25;7;4;4;8;1;-;-;-;-;50
"260530 EXU";-;2;5;11;1;-;-;-;-;-;-;24;43
"260540 FEIRA NOVA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260545 FERNANDO DE NORONHA";1;-;7;3;7;1;-;2;-;-;-;-;21
"260550 FERREIROS";-;-;1;-;-;-;-;-;-;-;-;-;1
"260560 FLORES";-;2;2;2;-;-;-;-;-;-;-;-;6
"260570 FLORESTA";4;2;14;3;1;1;-;-;1;-;-;-;26
"260580 FREI MIGUELINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260590 GAMELEIRA";-;1;14;2;3;1;1;-;-;-;-;-;22
"260600 GARANHUNS";4;8;11;243;270;89;85;29;8;4;1;-;752
"260610 GLORIA DO GOITA";-;-;3;2;5;4;4;-;2;5;5;3;33
"260620 GOIANA";32;40;54;108;107;49;29;36;6;3;-;3;467
"260630 GRANITO";5;-;-;-;1;1;-;-;-;-;-;-;7
"260640 GRAVATA";4;-;2;9;10;10;5;2;2;1;1;1;47
"260650 IATI";-;-;4;8;8;2;-;-;-;1;-;-;23
"260660 IBIMIRIM";-;-;1;2;-;-;-;-;1;-;-;-;4
"260670 IBIRAJUBA";-;-;-;-;1;-;-;1;-;-;-;-;2
"260680 IGARASSU";4;7;23;36;35;17;4;3;7;3;-;4;143
"260690 IGUARACY";-;-;9;2;1;1;-;-;-;-;-;-;13
"260700 INAJA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260710 INGAZEIRA";5;10;15;2;1;-;-;-;-;-;1;-;34
"260720 IPOJUCA";27;43;81;64;60;42;23;18;12;21;19;16;426
"260730 IPUBI";-;2;-;1;-;-;-;-;1;15;34;22;75
"260740 ITACURUBA";1;1;-;3;-;-;-;-;1;-;-;-;6
"260750 ITAIBA";-;1;-;-;-;1;-;-;-;-;-;-;2
"260760 ILHA DE ITAMARACA";-;9;37;32;8;9;3;-;-;-;1;3;102
"260765 ITAMBE";1;9;28;25;16;4;-;-;-;-;-;4;87
"260770 ITAPETIM";4;7;47;6;3;-;-;1;-;-;-;-;68
