DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2016
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";10;10;10;2;1;1;-;-;-;-;-;-;34
"260010 AFOGADOS DA INGAZEIRA";123;323;214;57;27;-;1;3;1;3;-;1;753
"260020 AFRANIO";1;1;1;-;-;-;-;-;-;-;-;-;3
"260030 AGRESTINA";13;131;81;3;-;-;-;-;-;-;-;-;228
"260040 AGUA PRETA";-;6;1;1;1;-;-;-;-;-;-;-;9
"260050 AGUAS BELAS";1;38;20;-;-;-;-;-;1;-;-;-;60
"260060 ALAGOINHA";331;152;43;4;-;-;-;1;-;-;-;-;531
"260070 ALIANCA";53;40;-;-;-;-;-;-;-;-;-;-;93
"260080 ALTINHO";34;37;116;6;2;1;-;-;-;-;-;-;196
"260090 AMARAJI";2;20;21;10;-;-;-;-;-;-;-;-;53
"260100 ANGELIM";1;3;5;4;12;-;-;-;-;1;-;-;26
"260105 ARACOIABA";2;270;44;4;1;-;-;-;-;-;-;-;321
"260110 ARARIPINA";4;13;22;11;2;1;1;-;-;-;-;-;54
"260120 ARCOVERDE";16;16;11;2;2;-;-;-;-;-;-;1;48
"260130 BARRA DE GUABIRABA";5;6;3;3;3;-;-;-;-;-;-;-;20
"260140 BARREIROS";31;83;91;-;-;-;-;-;-;-;-;1;206
"260150 BELEM DE MARIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"260160 BELEM DE SAO FRANCISCO";-;13;21;18;5;-;-;-;-;-;-;-;57
"260170 BELO JARDIM";984;10;3;-;-;77;72;91;35;27;45;16;1360
"260180 BETANIA";-;6;9;1;-;-;-;-;-;-;-;-;16
"260190 BEZERROS";494;80;5;2;1;1;-;-;-;-;-;-;583
"260200 BODOCO";2;8;3;-;-;-;-;-;-;-;-;-;13
"260210 BOM CONSELHO";296;141;55;3;28;2;-;-;-;-;-;-;525
"260220 BOM JARDIM";54;1;3;-;-;-;-;-;-;-;-;-;58
"260230 BONITO";-;-;5;-;1;1;-;-;-;-;-;-;7
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";3;4;-;-;-;-;-;-;-;-;-;-;7
"260260 BREJO DA MADRE DE DEUS";64;67;56;23;17;5;3;1;1;25;35;13;310
"260270 BUENOS AIRES";56;9;2;6;1;-;-;-;-;-;-;-;74
"260280 BUIQUE";180;193;163;22;1;2;3;1;-;-;1;-;566
"260290 CABO DE SANTO AGOSTINHO";293;514;634;243;178;42;19;25;17;4;9;9;1987
"260300 CABROBO";2;4;4;19;1;-;-;-;-;-;-;-;30
"260310 CACHOEIRINHA";-;6;8;1;3;-;1;1;-;-;-;-;20
"260320 CAETES";365;116;26;2;-;-;-;-;-;-;-;-;509
"260330 CALCADO";27;3;-;1;-;-;-;1;-;-;-;-;32
"260340 CALUMBI";2;2;5;-;-;-;-;-;-;-;-;-;9
"260345 CAMARAGIBE";251;206;331;22;60;58;12;8;-;1;7;-;956
"260350 CAMOCIM DE SAO FELIX";1;1;5;-;-;-;-;-;-;-;-;-;7
"260360 CAMUTANGA";22;110;-;-;-;-;-;-;-;-;-;-;132
"260370 CANHOTINHO";3;7;13;5;5;-;2;1;1;-;-;-;37
"260380 CAPOEIRAS";1;5;24;3;-;-;-;-;-;-;-;-;33
"260390 CARNAIBA";182;19;-;-;-;-;-;-;-;-;-;-;201
"260392 CARNAUBEIRA DA PENHA";-;1;4;-;-;-;-;-;-;-;-;-;5
"260400 CARPINA";416;134;63;60;61;89;118;189;114;17;20;-;1281
"260410 CARUARU";147;153;160;147;71;63;12;2;31;13;8;3;810
"260415 CASINHAS";75;46;85;2;-;1;1;-;-;-;-;-;210
"260420 CATENDE";-;7;7;2;3;-;-;-;-;-;-;-;19
"260430 CEDRO";74;13;24;26;2;1;-;1;-;-;-;-;141
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260450 CHA GRANDE";11;35;11;3;-;-;-;-;-;-;-;-;60
"260460 CONDADO";107;410;183;19;5;1;3;-;-;-;-;-;728
"260470 CORRENTES";-;-;2;4;-;-;1;-;-;-;-;-;7
"260480 CORTES";2;5;1;1;-;-;-;-;-;-;-;-;9
"260490 CUMARU";6;5;3;1;-;-;-;-;-;-;-;-;15
"260500 CUPIRA";-;5;5;-;-;-;-;-;-;-;-;-;10
"260510 CUSTODIA";-;1;7;-;-;-;-;-;-;-;-;-;8
"260515 DORMENTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260520 ESCADA";2;27;26;12;4;68;6;5;-;-;-;-;150
"260530 EXU";35;26;2;-;-;-;-;-;-;-;-;-;63
"260540 FEIRA NOVA";22;1;24;8;5;3;2;5;-;-;-;-;70
"260545 FERNANDO DE NORONHA";5;26;121;22;4;1;1;-;-;-;-;-;180
"260550 FERREIROS";8;2;1;-;-;-;-;-;-;-;-;-;11
"260560 FLORES";7;25;-;-;-;-;-;-;-;-;-;-;32
"260570 FLORESTA";-;6;9;1;-;-;-;-;-;-;-;-;16
"260580 FREI MIGUELINHO";24;24;7;-;-;-;-;-;-;-;-;-;55
"260590 GAMELEIRA";-;1;27;20;12;1;-;-;-;-;-;-;61
"260600 GARANHUNS";299;661;1240;558;200;91;98;36;37;32;25;18;3295
"260610 GLORIA DO GOITA";1;-;-;-;-;-;-;-;-;-;-;-;1
"260620 GOIANA";1684;1292;399;70;34;11;23;14;17;28;16;18;3606
"260630 GRANITO";-;-;10;1;-;-;-;-;-;-;-;-;11
"260640 GRAVATA";46;232;262;77;35;22;11;7;3;-;2;1;698
"260650 IATI";24;42;15;11;8;7;-;-;1;-;1;-;109
"260660 IBIMIRIM";5;5;3;-;-;-;-;-;-;-;-;-;13
"260670 IBIRAJUBA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260680 IGARASSU";105;250;128;31;21;11;14;6;10;2;4;5;587
"260690 IGUARACY";8;7;4;-;-;-;-;-;-;-;-;-;19
"260700 INAJA";1;3;10;-;-;-;1;-;-;-;-;-;15
"260710 INGAZEIRA";-;-;-;13;1;-;-;-;-;-;-;-;14
"260720 IPOJUCA";32;230;119;21;13;2;3;-;-;-;-;-;420
"260730 IPUBI";6;19;10;-;-;-;-;-;-;-;-;-;35
"260740 ITACURUBA";3;16;13;3;1;-;1;-;-;-;-;-;37
"260750 ITAIBA";4;122;67;12;4;1;-;-;-;-;-;-;210
"260760 ILHA DE ITAMARACA";68;106;159;40;29;11;2;1;-;-;-;-;416
"260765 ITAMBE";331;256;47;19;-;-;-;-;-;-;-;-;653
"260770 ITAPETIM";8;28;14;18;16;4;6;-;-;1;-;-;95
"260775 ITAPISSUMA";3;-;-;-;-;-;-;-;-;-;-;-;3
"260780 ITAQUITINGA";22;18;2;-;-;-;-;-;-;-;-;-;42
"260790 JABOATAO DOS GUARARAPES";201;810;650;316;198;155;125;127;60;27;25;39;2733
"260795 JAQUEIRA";11;12;34;13;26;10;1;2;-;-;-;-;109
"260800 JATAUBA";216;275;95;14;10;6;12;2;-;-;-;-;630
"260805 JATOBA";2;1;4;-;-;-;-;-;-;-;-;-;7
"260810 JOAO ALFREDO";264;210;98;58;11;6;2;9;2;1;-;-;661
"260820 JOAQUIM NABUCO";-;-;1;-;-;-;-;-;-;-;-;-;1
"260825 JUCATI";2;11;-;-;-;-;-;-;-;1;-;-;14
"260830 JUPI";-;9;25;3;4;-;-;-;-;-;-;-;41
"260840 JUREMA";22;9;6;1;-;-;-;-;-;-;-;-;38
"260845 LAGOA DO CARRO";264;41;68;7;-;-;-;1;1;1;-;-;383
"260850 LAGOA DE ITAENGA";-;10;1;1;-;1;-;-;-;-;-;-;13
"260860 LAGOA DO OURO";-;1;1;1;-;-;1;1;-;-;-;1;6
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260875 LAGOA GRANDE";2;65;138;28;1;-;-;-;-;-;2;-;236
"260880 LAJEDO";38;44;10;-;-;-;-;-;-;-;-;-;92
"260890 LIMOEIRO";114;52;25;17;15;9;3;8;4;4;9;8;268
"260900 MACAPARANA";2;10;11;3;-;-;-;-;-;-;-;-;26
"260910 MACHADOS";4;1;-;-;-;-;-;-;-;-;-;-;5
"260915 MANARI";3;12;3;2;-;-;-;-;8;5;2;-;35
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 MIRANDIBA";-;15;44;3;2;1;-;-;-;-;-;-;65
