DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;-;-;-;3;7;1;-;-;-;-;11
"260010 AFOGADOS DA INGAZEIRA";-;1;1;2;2;11;46;33;26;9;2;7;140
"260020 AFRANIO";-;1;-;1;1;-;-;-;-;-;-;2;5
"260030 AGRESTINA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260040 AGUA PRETA";-;2;37;21;13;1;-;1;-;-;-;-;75
"260050 AGUAS BELAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260060 ALAGOINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";-;1;-;-;3;-;-;2;-;3;-;5;14
"260090 AMARAJI";-;4;48;66;69;38;7;4;4;-;-;2;242
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260105 ARACOIABA";5;6;1;4;159;309;194;66;42;7;5;2;800
"260110 ARARIPINA";-;2;1;1;-;-;-;-;2;-;-;-;6
"260120 ARCOVERDE";-;1;1;1;1;4;2;3;-;1;-;2;16
"260130 BARRA DE GUABIRABA";1;1;-;1;-;-;2;5;2;4;22;2;40
"260140 BARREIROS";-;-;1;8;70;28;14;60;25;13;23;5;247
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;-;1;1;-;1;-;1;-;-;-;4
"260170 BELO JARDIM";15;5;3;3;-;14;6;1;2;3;3;-;55
"260180 BETANIA";-;-;-;-;-;1;1;-;1;-;-;1;4
"260190 BEZERROS";1;-;-;-;-;-;-;1;1;-;-;-;3
"260200 BODOCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260210 BOM CONSELHO";1;1;-;1;1;1;1;1;-;-;-;3;10
"260220 BOM JARDIM";-;-;-;27;30;103;68;19;10;1;5;8;271
"260230 BONITO";-;-;1;2;6;3;10;2;-;2;2;-;28
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;1;1
"260250 BREJINHO";-;1;1;4;3;2;3;-;-;-;-;-;14
"260260 BREJO DA MADRE DE DEUS";-;1;-;-;-;-;1;1;-;-;-;-;3
"260270 BUENOS AIRES";-;-;-;-;-;15;13;-;-;-;-;-;28
"260280 BUIQUE";1;-;-;-;-;1;-;-;-;1;-;1;4
"260290 CABO DE SANTO AGOSTINHO";74;221;288;191;523;342;265;62;26;14;20;85;2111
"260300 CABROBO";1;6;1;1;2;4;-;-;2;4;8;12;41
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260320 CAETES";-;-;-;-;-;1;1;1;1;-;1;-;5
"260330 CALCADO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260340 CALUMBI";-;-;-;-;-;-;2;2;-;-;-;-;4
"260345 CAMARAGIBE";4;14;33;83;113;78;33;19;5;3;-;-;385
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;1;-;-;-;-;-;-;1
"260360 CAMUTANGA";-;-;-;-;-;-;3;3;1;2;2;1;12
"260370 CANHOTINHO";-;-;-;-;1;-;-;-;-;2;2;4;9
"260380 CAPOEIRAS";-;-;-;-;2;-;1;-;-;-;-;-;3
"260390 CARNAIBA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260400 CARPINA";-;-;-;-;18;12;15;8;7;5;6;-;71
"260410 CARUARU";-;6;1;3;4;2;18;7;6;11;9;24;91
"260415 CASINHAS";-;-;-;-;18;2;1;-;-;-;-;-;21
"260420 CATENDE";-;1;-;-;2;6;5;3;-;-;-;-;17
"260430 CEDRO";-;-;-;1;-;1;-;-;-;-;-;-;2
"260440 CHA DE ALEGRIA";-;-;-;-;15;11;8;14;21;14;6;5;94
"260450 CHA GRANDE";-;-;1;7;-;10;15;4;4;-;-;-;41
"260460 CONDADO";-;-;-;-;-;-;1;1;1;-;1;-;4
"260470 CORRENTES";-;-;-;-;-;-;-;3;-;1;-;-;4
"260480 CORTES";-;-;-;-;2;1;1;-;-;-;-;-;4
"260490 CUMARU";-;-;-;2;10;8;7;8;3;1;1;-;40
"260500 CUPIRA";-;-;-;1;2;4;2;5;-;-;1;-;15
"260510 CUSTODIA";-;-;4;1;-;-;-;2;-;-;-;-;7
"260515 DORMENTES";1;1;5;-;4;-;1;-;4;8;2;-;26
"260520 ESCADA";8;2;37;19;130;99;54;57;51;18;36;19;530
"260530 EXU";-;-;2;3;4;1;1;-;-;-;-;-;11
"260540 FEIRA NOVA";-;-;-;-;3;3;11;3;8;2;-;1;31
"260545 FERNANDO DE NORONHA";-;2;-;1;7;23;82;90;60;31;23;13;332
"260550 FERREIROS";-;-;-;-;-;-;8;-;1;1;-;-;10
"260560 FLORES";-;-;-;-;-;1;-;-;-;-;-;-;1
"260570 FLORESTA";-;-;-;-;-;-;-;1;1;-;-;1;3
"260580 FREI MIGUELINHO";-;-;1;-;2;12;15;8;11;12;4;-;65
"260590 GAMELEIRA";-;6;1;26;57;96;155;54;31;11;-;1;438
"260600 GARANHUNS";3;-;3;7;8;10;10;10;10;2;8;13;84
"260610 GLORIA DO GOITA";-;-;-;4;18;8;4;1;1;2;-;-;38
"260620 GOIANA";-;-;3;18;198;247;120;29;61;32;20;13;741
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;1;-;1
"260640 GRAVATA";3;8;5;21;67;154;151;68;28;40;4;1;550
"260650 IATI";-;-;1;-;-;-;-;-;1;-;-;-;2
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260670 IBIRAJUBA";-;-;-;1;1;-;9;-;-;-;-;-;11
"260680 IGARASSU";33;79;116;42;105;54;79;60;22;25;23;19;657
"260690 IGUARACY";-;-;-;-;-;2;1;-;-;-;-;-;3
"260700 INAJA";-;-;-;1;-;-;-;-;-;-;1;-;2
"260710 INGAZEIRA";-;-;-;-;4;3;3;4;-;5;2;-;21
"260720 IPOJUCA";2;2;6;18;33;25;15;5;6;3;8;12;135
"260730 IPUBI";-;-;2;3;4;-;-;-;-;-;1;-;10
"260740 ITACURUBA";-;-;-;1;1;-;-;-;-;-;-;-;2
"260750 ITAIBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260760 ILHA DE ITAMARACA";1;2;10;12;6;5;-;-;-;-;2;3;41
"260765 ITAMBE";-;-;-;-;-;-;-;2;-;-;-;-;2
"260770 ITAPETIM";-;-;1;1;-;1;1;-;-;-;-;-;4
"260775 ITAPISSUMA";-;-;-;1;3;-;-;1;-;-;-;-;5
"260780 ITAQUITINGA";-;-;-;-;3;4;15;6;2;-;-;-;30
"260790 JABOATAO DOS GUARARAPES";21;55;503;837;1457;1899;1832;960;712;392;153;164;8985
"260795 JAQUEIRA";-;1;1;2;16;9;3;2;1;-;1;-;36
"260800 JATAUBA";-;-;-;-;-;-;-;-;1;1;-;-;2
"260805 JATOBA";-;-;-;-;1;-;1;-;-;-;-;-;2
"260810 JOAO ALFREDO";-;-;-;9;6;2;8;2;5;1;-;-;33
"260820 JOAQUIM NABUCO";-;-;-;2;-;1;6;-;-;-;-;-;9
"260825 JUCATI";-;-;1;-;-;4;1;-;-;-;-;-;6
