DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";7;-;2;6;7;8;5;-;-;2;1;-;38
"260010 AFOGADOS DA INGAZEIRA";2;4;7;2;18;3;5;-;5;5;15;3;69
"260020 AFRANIO";-;3;2;2;13;30;26;7;10;2;-;-;95
"260030 AGRESTINA";2;1;3;2;1;3;1;-;-;-;1;-;14
"260040 AGUA PRETA";-;-;-;-;6;27;7;-;4;1;1;1;47
"260050 AGUAS BELAS";1;-;1;-;-;1;1;-;-;2;1;-;7
"260060 ALAGOINHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";7;12;2;1;9;2;-;-;-;-;-;-;33
"260090 AMARAJI";-;-;-;-;-;-;1;-;-;-;-;-;1
"260100 ANGELIM";-;-;-;-;-;-;-;2;-;-;-;-;2
"260105 ARACOIABA";-;-;-;-;-;-;2;-;-;-;-;-;2
"260110 ARARIPINA";2;-;1;1;3;1;-;-;-;-;-;-;8
"260120 ARCOVERDE";1;-;2;5;6;2;3;1;2;1;2;2;27
"260130 BARRA DE GUABIRABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260140 BARREIROS";-;-;1;-;2;-;-;1;-;-;1;-;5
"260150 BELEM DE MARIA";-;-;-;-;-;-;2;-;-;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";1;-;-;3;1;-;2;1;1;-;-;-;9
"260170 BELO JARDIM";7;-;-;-;-;2;2;-;4;1;-;-;16
"260180 BETANIA";-;-;-;1;-;-;-;-;-;-;-;1;2
"260190 BEZERROS";-;-;1;-;30;2;2;1;1;-;-;-;37
"260200 BODOCO";-;-;-;-;1;-;-;-;-;-;5;-;6
"260210 BOM CONSELHO";4;2;-;1;2;3;1;2;1;-;-;-;16
"260220 BOM JARDIM";-;-;-;10;1;-;-;-;-;-;1;-;12
"260230 BONITO";3;1;1;-;3;5;6;5;1;2;2;1;30
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;-;-;6;2;1;-;-;-;-;-;-;9
"260260 BREJO DA MADRE DE DEUS";-;2;1;4;8;-;-;-;1;1;-;1;18
"260270 BUENOS AIRES";-;-;-;-;1;3;1;-;-;-;-;-;5
"260280 BUIQUE";-;-;1;-;-;1;1;1;1;-;-;-;5
"260290 CABO DE SANTO AGOSTINHO";41;32;40;59;59;31;33;27;9;16;34;58;439
"260300 CABROBO";-;-;-;2;9;7;1;-;-;-;-;-;19
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260320 CAETES";1;-;-;-;1;-;-;-;-;-;1;-;3
"260330 CALCADO";-;-;1;2;-;-;1;-;-;-;-;-;4
"260340 CALUMBI";-;-;-;-;-;-;-;-;-;-;1;-;1
"260345 CAMARAGIBE";-;-;1;1;2;3;4;1;3;3;3;4;25
"260350 CAMOCIM DE SAO FELIX";-;-;1;-;-;-;-;-;-;-;-;-;1
"260360 CAMUTANGA";-;1;-;-;-;-;-;-;-;-;-;-;1
"260370 CANHOTINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260380 CAPOEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260390 CARNAIBA";-;1;-;-;3;2;1;5;3;-;-;-;15
"260392 CARNAUBEIRA DA PENHA";3;-;-;-;4;-;-;-;-;-;-;-;7
"260400 CARPINA";6;6;2;3;9;22;2;-;1;1;9;32;93
"260410 CARUARU";1;4;14;7;14;15;3;4;1;5;2;-;70
"260415 CASINHAS";-;-;-;-;1;2;1;-;1;-;-;-;5
