DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2018
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;-;-;-;-;-;-;-;-;2;8;10
"260010 AFOGADOS DA INGAZEIRA";-;3;2;6;30;75;129;91;61;33;15;38;483
"260020 AFRANIO";1;-;-;-;-;-;-;-;-;-;-;-;1
"260030 AGRESTINA";-;-;-;2;-;-;-;-;-;-;-;-;2
"260040 AGUA PRETA";-;1;1;3;1;1;-;-;-;-;-;-;7
"260050 AGUAS BELAS";-;-;1;1;-;-;-;-;-;-;-;-;2
"260060 ALAGOINHA";-;-;-;-;-;-;-;-;-;-;-;1;1
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";1;-;1;-;-;-;-;-;1;-;-;-;3
"260090 AMARAJI";-;-;13;8;-;9;1;5;4;-;-;-;40
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260105 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260110 ARARIPINA";-;-;-;-;-;-;1;1;-;-;-;-;2
"260120 ARCOVERDE";-;-;2;6;23;18;3;1;-;-;1;2;56
"260130 BARRA DE GUABIRABA";7;-;-;2;5;3;9;4;-;-;-;-;30
"260140 BARREIROS";-;-;2;-;-;-;1;-;-;9;2;-;14
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;2;-;-;-;-;-;-;2
"260170 BELO JARDIM";26;23;22;1;1;-;1;5;7;20;26;31;163
"260180 BETANIA";-;-;-;-;-;-;-;-;-;1;1;-;2
"260190 BEZERROS";9;15;13;22;10;4;-;-;1;-;-;-;74
"260200 BODOCO";-;-;1;2;-;-;2;1;-;-;-;-;6
"260210 BOM CONSELHO";-;1;-;-;-;-;-;-;-;-;-;-;1
"260220 BOM JARDIM";-;5;54;18;13;3;-;-;-;-;-;-;93
"260230 BONITO";1;1;-;1;3;11;16;-;3;2;4;1;43
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
