DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2009
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";4;5;1;-;3;1;-;1;-;-;-;-;15
"260010 AFOGADOS DA INGAZEIRA";7;12;15;5;-;-;1;2;4;-;1;2;49
"260020 AFRANIO";-;-;-;-;1;1;-;1;-;-;-;8;11
"260030 AGRESTINA";-;-;1;-;1;2;-;-;-;-;1;5;10
"260040 AGUA PRETA";-;-;-;-;-;2;-;-;-;-;-;-;2
"260050 AGUAS BELAS";-;2;-;-;1;-;1;1;-;-;-;-;5
"260060 ALAGOINHA";-;-;1;-;-;-;-;-;-;-;-;-;1
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";-;1;1;-;-;-;-;-;-;-;-;-;2
"260090 AMARAJI";-;-;4;-;-;-;-;-;1;-;-;-;5
"260100 ANGELIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260105 ARACOIABA";-;-;-;-;-;-;2;-;1;-;-;-;3
"260110 ARARIPINA";-;-;1;-;1;2;1;-;-;-;3;-;8
"260120 ARCOVERDE";-;4;1;1;-;1;-;-;-;1;-;1;9
"260130 BARRA DE GUABIRABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260140 BARREIROS";-;3;-;-;-;-;-;-;-;-;-;-;3
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;-;13;72;29;3;-;-;-;-;-;117
"260170 BELO JARDIM";8;17;4;-;1;1;-;1;-;-;-;-;32
"260180 BETANIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260190 BEZERROS";-;1;2;1;-;1;1;-;-;-;-;-;6
"260200 BODOCO";-;-;1;1;1;-;-;-;-;-;-;-;3
"260210 BOM CONSELHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260220 BOM JARDIM";-;-;1;-;1;-;-;-;-;-;-;-;2
"260230 BONITO";2;-;-;-;3;2;-;-;-;-;-;-;7
"260240 BREJAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 BREJINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;-;1;-;1;-;1;-;-;3
"260270 BUENOS AIRES";-;-;1;4;-;-;-;-;-;-;-;-;5
"260280 BUIQUE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260290 CABO DE SANTO AGOSTINHO";5;2;8;16;16;9;15;8;-;5;4;2;90
"260300 CABROBO";-;-;-;-;-;-;-;-;-;-;-;1;1
"260310 CACHOEIRINHA";-;-;-;-;1;-;4;1;1;1;1;1;10
"260320 CAETES";-;-;-;-;-;-;-;-;-;-;-;1;1
"260330 CALCADO";-;2;-;1;1;1;-;-;-;-;-;-;5
"260340 CALUMBI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260345 CAMARAGIBE";1;-;-;-;-;-;1;-;-;-;1;-;3
"260350 CAMOCIM DE SAO FELIX";2;2;4;-;1;2;1;-;-;-;-;-;12
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260370 CANHOTINHO";-;1;-;-;-;1;-;-;-;-;-;-;2
"260380 CAPOEIRAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"260390 CARNAIBA";-;1;-;3;10;3;-;2;-;1;3;-;23
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260400 CARPINA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260410 CARUARU";3;2;15;5;12;12;10;7;3;-;3;5;77
"260415 CASINHAS";-;-;-;-;-;3;-;-;-;-;-;-;3
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";9;5;18;22;18;11;2;3;3;-;2;1;94
"260440 CHA DE ALEGRIA";-;-;-;-;1;-;1;-;-;-;-;-;2
"260450 CHA GRANDE";-;4;4;-;-;-;4;-;-;-;1;5;18
"260460 CONDADO";-;-;5;1;-;-;-;-;-;-;-;-;6
"260470 CORRENTES";-;-;1;-;-;-;-;-;-;-;-;-;1
"260480 CORTES";-;-;-;-;-;-;-;-;-;-;-;2;2
"260490 CUMARU";-;-;1;1;-;-;-;-;-;-;-;-;2
"260500 CUPIRA";-;-;-;9;16;80;38;3;3;-;1;-;150
"260510 CUSTODIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260515 DORMENTES";-;-;-;-;-;-;-;1;-;-;9;100;110
"260520 ESCADA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260530 EXU";-;-;-;-;-;-;-;-;-;-;-;-;-
"260540 FEIRA NOVA";1;1;-;-;-;1;-;-;-;-;-;-;3
"260545 FERNANDO DE NORONHA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260550 FERREIROS";-;-;1;-;-;-;-;-;-;-;-;-;1
"260560 FLORES";-;-;-;-;-;-;-;-;-;1;-;-;1
"260570 FLORESTA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260580 FREI MIGUELINHO";-;-;1;1;-;-;-;-;-;-;-;-;2
"260590 GAMELEIRA";-;1;-;1;-;-;-;-;-;-;2;1;5
"260600 GARANHUNS";-;1;1;1;-;1;-;1;-;-;-;-;5
"260610 GLORIA DO GOITA";2;-;-;-;-;-;-;-;-;-;1;-;3
"260620 GOIANA";1;-;1;4;-;-;1;-;-;-;2;1;10
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 GRAVATA";1;-;1;-;-;-;-;-;-;-;-;-;2
"260650 IATI";-;-;-;5;10;10;8;-;2;-;-;-;35
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260670 IBIRAJUBA";-;-;-;-;-;-;1;-;-;1;7;-;9
"260680 IGARASSU";4;7;15;11;22;16;18;8;1;4;3;1;110
"260690 IGUARACY";-;-;2;-;-;-;1;-;-;-;-;-;3
"260700 INAJA";-;-;-;-;2;-;-;-;-;-;-;-;2
"260710 INGAZEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260720 IPOJUCA";-;-;-;8;1;-;1;-;-;-;-;1;11
"260730 IPUBI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260740 ITACURUBA";-;-;-;1;-;1;2;-;-;-;-;-;4
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260760 ILHA DE ITAMARACA";2;-;9;5;-;2;-;2;1;-;-;-;21
"260765 ITAMBE";1;-;-;-;-;-;-;-;-;-;-;-;1
"260770 ITAPETIM";-;-;1;-;-;-;-;-;-;-;-;-;1
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260780 ITAQUITINGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"260790 JABOATAO DOS GUARARAPES";5;3;2;3;1;-;3;9;-;1;-;-;27
"260795 JAQUEIRA";-;-;1;1;-;-;-;-;-;-;-;-;2
"260800 JATAUBA";-;-;2;2;-;-;-;-;-;-;-;-;4
"260805 JATOBA";-;-;-;-;-;-;1;-;1;-;-;-;2
"260810 JOAO ALFREDO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260830 JUPI";-;-;-;-;-;-;1;-;-;-;-;1;2
"260840 JUREMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260845 LAGOA DO CARRO";-;-;1;-;-;-;-;2;-;-;-;-;3
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260860 LAGOA DO OURO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260875 LAGOA GRANDE";-;-;-;-;-;-;-;-;-;1;-;-;1
"260880 LAJEDO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260890 LIMOEIRO";2;-;1;2;-;-;1;1;1;-;-;1;9
"260900 MACAPARANA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260910 MACHADOS";-;-;-;-;-;1;-;-;-;-;-;-;1
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 MIRANDIBA";-;1;-;-;3;-;1;-;-;-;-;-;5
"260940 MORENO";-;1;2;-;1;-;-;-;-;-;-;-;4
"260950 NAZARE DA MATA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260960 OLINDA";8;2;7;10;4;-;3;4;2;21;5;3;69
"260970 OROBO";-;-;-;2;-;-;1;1;-;-;-;-;4
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260990 OURICURI";-;-;-;-;-;1;2;11;1;-;-;10;25
"261000 PALMARES";-;-;1;-;-;-;-;-;-;-;1;-;2
"261010 PALMEIRINA";-;-;-;-;21;49;-;3;-;-;-;-;73
"261020 PANELAS";-;-;-;-;-;-;-;13;6;2;5;-;26
"261030 PARANATAMA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261040 PARNAMIRIM";1;6;13;1;-;-;-;-;-;-;-;-;21
"261050 PASSIRA";-;-;-;-;-;-;-;-;-;1;-;1;2
"261060 PAUDALHO";-;1;11;13;8;-;1;1;-;2;-;-;37
"261070 PAULISTA";1;8;9;11;31;5;-;22;18;14;11;13;143
"261080 PEDRA";-;-;-;-;1;-;-;-;-;-;2;-;3
"261090 PESQUEIRA";-;-;-;-;2;12;6;2;5;5;3;-;35
"261100 PETROLANDIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"261110 PETROLINA";-;1;10;21;32;28;12;5;-;1;-;11;121
"261120 POCAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261130 POMBOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261150 QUIPAPA";-;-;-;-;-;-;-;-;-;-;-;-;-
"261153 QUIXABA";-;-;1;-;-;-;-;-;-;-;-;-;1
"261160 RECIFE";31;56;103;125;46;25;44;45;27;21;17;19;559
"261170 RIACHO DAS ALMAS";-;2;2;3;-;-;-;-;-;-;-;-;7
"261180 RIBEIRAO";-;-;1;1;-;-;-;-;-;1;1;-;4
"261190 RIO FORMOSO";-;-;-;-;-;1;-;-;-;-;-;-;1
"261200 SAIRE";-;-;2;3;2;-;-;-;-;-;-;-;7
"261210 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-
"261220 SALGUEIRO";-;-;2;2;18;45;89;48;11;9;23;16;263
"261230 SALOA";-;-;-;-;-;-;1;-;-;-;1;1;3
"261240 SANHARO";-;-;-;-;1;-;-;-;-;-;-;-;1
"261245 SANTA CRUZ";-;1;3;4;-;-;-;-;-;-;-;1;9
