DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2007
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";1;1;5;-;1;-;1;-;-;-;1;-;10
"260010 AFOGADOS DA INGAZEIRA";-;1;4;36;38;18;10;1;2;2;3;3;118
"260020 AFRANIO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260030 AGRESTINA";1;4;11;14;4;3;2;-;-;4;-;-;43
"260040 AGUA PRETA";-;2;-;-;3;3;6;4;3;1;1;-;23
"260050 AGUAS BELAS";-;-;-;-;11;-;-;-;-;1;-;-;12
"260060 ALAGOINHA";-;1;5;10;11;4;-;1;1;-;-;-;33
"260070 ALIANCA";-;2;1;-;-;-;2;5;-;-;-;-;10
"260080 ALTINHO";3;49;85;305;275;130;70;17;4;6;2;3;949
"260090 AMARAJI";-;1;11;35;6;-;-;1;1;-;-;-;55
"260100 ANGELIM";-;-;-;1;-;-;-;-;-;-;-;-;1
"260105 ARACOIABA";-;4;2;5;1;-;-;-;-;-;-;-;12
"260110 ARARIPINA";-;1;2;2;3;-;4;1;-;-;-;-;13
"260120 ARCOVERDE";1;-;2;9;12;11;11;4;4;2;1;2;59
"260130 BARRA DE GUABIRABA";-;-;-;6;3;-;3;1;1;-;3;5;22
"260140 BARREIROS";-;1;9;16;33;22;13;-;-;2;-;1;97
"260150 BELEM DE MARIA";-;-;35;48;-;-;1;-;-;-;-;-;84
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260170 BELO JARDIM";2;-;23;20;142;53;37;19;9;7;17;11;340
"260180 BETANIA";-;-;-;2;1;-;-;-;-;-;-;-;3
"260190 BEZERROS";-;1;2;3;11;13;7;-;-;5;2;-;44
"260200 BODOCO";1;2;2;4;8;2;1;-;-;-;1;-;21
