DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês Notificação
Período:2008
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;-;-;12;2;1;2;-;-;-;-;-;17
"260010 AFOGADOS DA INGAZEIRA";-;3;7;42;24;4;3;1;-;-;-;2;86
"260020 AFRANIO";-;-;5;-;-;-;1;-;-;-;-;-;6
"260030 AGRESTINA";-;1;-;6;-;2;-;-;1;-;-;-;10
"260040 AGUA PRETA";1;-;-;-;-;-;1;6;1;-;-;-;9
"260050 AGUAS BELAS";-;-;85;75;15;3;-;-;-;-;-;-;178
"260060 ALAGOINHA";-;3;4;9;4;5;-;-;1;-;-;-;26
"260070 ALIANCA";-;-;2;27;5;2;1;-;-;-;-;-;37
"260080 ALTINHO";-;-;-;5;-;2;-;-;-;-;-;-;7
"260090 AMARAJI";-;-;-;3;-;-;-;-;-;-;-;-;3
"260100 ANGELIM";-;-;-;-;5;-;-;-;-;-;-;1;6
"260105 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260110 ARARIPINA";2;1;-;20;5;5;-;1;-;-;-;-;34
"260120 ARCOVERDE";3;5;68;156;124;26;2;1;-;-;1;-;386
"260130 BARRA DE GUABIRABA";-;-;1;-;2;-;-;-;-;-;-;-;3
"260140 BARREIROS";2;-;-;1;-;-;-;-;-;-;-;-;3
"260150 BELEM DE MARIA";-;-;-;-;1;-;-;-;1;-;-;-;2
"260160 BELEM DE SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260170 BELO JARDIM";26;20;74;116;178;68;36;9;14;11;4;-;556
"260180 BETANIA";2;36;35;171;1;3;1;-;-;-;-;-;249
"260190 BEZERROS";5;2;3;6;1;-;-;1;1;-;-;-;19
"260200 BODOCO";-;4;17;18;10;4;1;1;-;-;-;-;55
