DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Mês notificação
Período:2020
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
" MUNICIPIO IGNORADO - PE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 ABREU E LIMA";-;3;-;-;-;1;8;4;1;5;5;-;27
"260010 AFOGADOS DA INGAZEIRA";16;45;29;10;12;25;22;24;11;3;10;25;232
"260020 AFRANIO";2;2;10;215;201;52;35;1;2;1;-;1;522
"260030 AGRESTINA";-;-;-;3;2;4;5;-;-;-;-;-;14
"260040 AGUA PRETA";1;-;2;1;4;-;-;-;-;-;-;-;8
"260050 AGUAS BELAS";-;-;1;5;2;5;4;2;1;-;-;1;21
"260060 ALAGOINHA";-;-;-;-;-;1;-;-;-;-;-;-;1
"260070 ALIANCA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 ALTINHO";-;1;6;15;20;1;-;-;-;-;-;-;43
"260090 AMARAJI";-;-;2;1;11;3;2;9;-;6;-;1;35
"260100 ANGELIM";-;-;3;3;-;-;1;-;-;-;-;-;7
"260105 ARACOIABA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260110 ARARIPINA";2;13;15;44;18;9;4;-;2;-;-;1;108
"260120 ARCOVERDE";3;10;10;8;11;8;6;5;1;4;3;2;71
"260130 BARRA DE GUABIRABA";1;-;-;-;1;-;3;3;2;-;-;-;10
"260140 BARREIROS";-;-;-;-;-;-;-;4;1;-;-;-;5
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260160 BELEM DE SAO FRANCISCO";-;-;-;1;5;32;25;6;1;-;-;-;70
"260170 BELO JARDIM";-;-;13;8;24;37;5;-;-;1;13;1;102
"260180 BETANIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"260190 BEZERROS";-;-;-;-;-;1;2;-;-;-;-;-;3
"260200 BODOCO";1;3;-;12;4;5;-;-;-;-;-;-;25
"260210 BOM CONSELHO";1;-;-;-;-;-;-;-;-;-;-;-;1
"260220 BOM JARDIM";-;-;-;-;-;1;4;1;-;1;-;-;7
"260230 BONITO";-;-;-;3;6;14;10;1;1;-;-;-;35
"260240 BREJAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"260250 BREJINHO";10;-;-;1;-;-;-;-;-;-;-;-;11
"260260 BREJO DA MADRE DE DEUS";4;1;-;1;-;-;-;4;-;-;4;4;18
"260270 BUENOS AIRES";-;-;1;-;-;-;-;-;-;-;-;-;1
"260280 BUIQUE";3;3;8;2;6;7;11;4;3;1;-;1;49
"260290 CABO DE SANTO AGOSTINHO";56;74;98;65;132;172;479;465;249;174;148;110;2222
"260300 CABROBO";-;-;-;1;4;9;7;1;1;2;-;-;25
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260320 CAETES";-;2;-;-;1;2;3;4;-;1;-;-;13
"260330 CALCADO";-;-;-;-;-;-;-;1;-;-;-;-;1
"260340 CALUMBI";-;-;-;-;-;-;-;-;-;-;-;-;-
"260345 CAMARAGIBE";-;2;5;3;2;1;19;14;5;7;4;5;67
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;-;-;1;-;-;-;-;1
"260360 CAMUTANGA";-;-;-;-;-;-;2;1;-;-;-;-;3
"260370 CANHOTINHO";-;-;-;-;-;2;3;-;2;-;-;-;7
"260380 CAPOEIRAS";-;-;-;2;9;7;-;-;-;-;-;-;18
"260390 CARNAIBA";-;1;-;-;1;1;2;1;-;1;1;1;9
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;6;6;1;-;-;-;-;13
"260400 CARPINA";2;1;-;-;-;-;-;-;-;-;-;-;3
"260410 CARUARU";10;17;6;9;9;23;28;19;3;9;5;5;143
"260415 CASINHAS";4;-;8;16;72;12;9;1;-;-;-;-;122
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260430 CEDRO";-;-;11;39;51;38;14;-;-;-;-;-;153
"260440 CHA DE ALEGRIA";-;1;-;-;1;-;-;-;-;-;-;-;2
"260450 CHA GRANDE";4;4;-;-;1;1;-;-;-;-;2;-;12
"260460 CONDADO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260470 CORRENTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260480 CORTES";-;-;-;-;-;-;-;1;-;-;-;-;1
"260490 CUMARU";2;-;-;1;1;5;5;-;1;-;-;-;15
"260500 CUPIRA";-;-;1;1;4;-;3;-;-;-;-;-;9
"260510 CUSTODIA";8;1;-;2;4;5;10;19;4;4;1;3;61
"260515 DORMENTES";1;-;2;71;118;62;19;7;4;-;-;-;284
"260520 ESCADA";-;-;-;5;1;5;22;23;29;3;-;-;88
"260530 EXU";1;4;7;10;11;-;4;-;2;1;1;1;42
"260540 FEIRA NOVA";1;-;2;-;-;-;-;-;-;-;-;-;3
"260545 FERNANDO DE NORONHA";2;2;-;1;-;1;2;-;-;-;-;-;8
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;-;-;-
"260570 FLORESTA";-;-;-;-;-;1;-;-;-;-;-;-;1
"260580 FREI MIGUELINHO";-;-;-;-;-;6;10;-;1;-;-;-;17
"260590 GAMELEIRA";-;-;-;-;-;-;-;-;4;15;6;-;25
"260600 GARANHUNS";22;30;105;215;353;206;53;14;6;4;1;2;1011
"260610 GLORIA DO GOITA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260620 GOIANA";12;5;18;3;1;3;-;-;-;3;1;7;53
"260630 GRANITO";-;-;-;1;2;2;-;-;-;-;-;-;5
"260640 GRAVATA";6;3;1;58;26;17;22;26;11;5;12;1;188
"260650 IATI";-;-;-;-;3;1;1;2;-;-;1;-;8
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-
"260670 IBIRAJUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"260680 IGARASSU";66;75;46;27;3;54;263;170;120;65;57;46;992
"260690 IGUARACY";-;-;1;-;-;-;1;-;-;1;1;-;4
"260700 INAJA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260710 INGAZEIRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"260720 IPOJUCA";1;5;2;3;1;-;-;1;-;6;5;3;27
"260730 IPUBI";1;4;3;1;-;-;-;-;-;-;-;1;10
"260740 ITACURUBA";-;-;-;-;1;2;1;-;-;-;-;-;4
"260750 ITAIBA";-;-;-;1;-;1;-;-;-;-;-;-;2
"260760 ILHA DE ITAMARACA";-;-;-;-;-;-;-;-;-;-;-;-;-
"260765 ITAMBE";-;-;-;-;-;-;-;-;-;-;-;-;-
"260770 ITAPETIM";-;-;4;7;9;7;-;1;1;2;-;1;32
"260775 ITAPISSUMA";-;-;-;-;-;-;-;1;-;1;2;-;4
"260780 ITAQUITINGA";-;-;3;-;-;-;-;-;-;-;-;-;3
"260790 JABOATAO DOS GUARARAPES";292;270;210;78;58;184;457;429;382;318;196;269;3143
"260795 JAQUEIRA";2;2;1;1;1;-;-;-;-;1;-;-;8
"260800 JATAUBA";7;2;1;5;6;5;1;1;-;2;1;3;34
"260805 JATOBA";-;-;-;-;-;2;-;-;-;-;-;-;2
"260810 JOAO ALFREDO";-;-;-;1;3;3;11;2;1;1;-;-;22
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 JUCATI";-;-;-;1;12;10;4;-;-;-;-;-;27
"260830 JUPI";-;-;1;2;40;12;-;-;-;-;3;-;58
"260840 JUREMA";-;-;-;1;-;2;5;-;4;-;-;-;12
"260845 LAGOA DO CARRO";-;-;-;-;-;-;-;-;-;-;-;-;-
"260850 LAGOA DE ITAENGA";-;-;-;-;-;1;-;-;-;-;-;-;1
"260860 LAGOA DO OURO";-;-;-;-;3;2;18;2;-;-;-;-;25
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;4;-;-;-;-;4
"260875 LAGOA GRANDE";-;-;1;4;36;36;12;3;-;-;-;-;92
"260880 LAJEDO";-;1;1;-;-;-;1;-;-;-;-;-;3
"260890 LIMOEIRO";4;2;3;2;2;1;1;-;3;2;1;5;26
